country,population,longitude,latitude
Australia,18617690,133.7751,-25.2744
New Zealand,617960,174.8860,-40.9006
England,963560,-1.1743,52.3555
Scotland,124880,-4.2026,56.4907
Ireland,103080,-8.2439,53.4129
Italy,156070,12.5674,41.8719
Iraq,109600,43.6793,33.2232
Thailand,114280,100.9925,15.8700
Vietnam,318760,108.2772,14.0583
China,700120,104.1954,35.8617
Hong Kong,124550,114.1694,22.3193
South Korea,119190,127.7669,35.9078
India,916330,78.9629,20.5937
Nepal,197800,84.1240,28.3949
Pakistan,134720,69.3451,30.3753
Sri Lanka,172800,80.7718,7.8731
USA,118000,-98.5795,39.8283
South Africa,224160,22.9375,-30.5595
Indonesia,120160,113.9213,-0.7893
Malaysia,183490,101.9758,4.2105
Philippines,394380,121.7740,12.8797
Other,5913890,null,null
