Year,Total Australian-born,Total overseas-born
1996,13984720,4240050
1997,14128840,4294200
1998,14297370,4310210
1999,14466970,4345300
2000,14643100,4385700
2001,14822350,4452360
2002,14944520,4550690
2003,15065240,4655500
2004,15179770,4752950
2005,15299750,4877090
2006,15419340,5031630
2007,15594370,5233250
2008,15771300,5477900
2009,15961770,5729890
2010,16150390,5881360
2011,16321840,6018180
2012,16519460,6214010
2013,16719390,6408740
2014,16905450,6570230
2015,17086270,6729730
2016,17279570,6911340
2017,17450550,7142040
2018,17616740,7346510
2019,17785170,7549660
2020,17976790,7672450
2021,18159540,7525870
2022,18332680,7681720
2023,18471790,8180980
2024,18617690,8576680
